split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
train,Categorical EM-MMIL,II_III,MAST cells,II_III,13,0.45957465336138176,0.9981635034307359
train,Categorical EM-MMIL,II_III,Endothelial cells,II_III,3,0.42410875444331464,0.7190729321300735
train,Categorical EM-MMIL,II_III,T lymphocytes,II_III,226,0.37867565599422154,0.9971974925207541
train,Categorical EM-MMIL,II_III,Epithelial cells,II_III,70,0.32691968469616106,0.9991547902616185
train,Categorical EM-MMIL,II_III,B lymphocytes,II_III,57,0.2876825906658307,0.999523145916363
train,Categorical EM-MMIL,II_III,NK cells,II_III,46,0.2545799931912655,0.8537635788947995
train,Categorical EM-MMIL,II_III,Myeloid cells,II_III,122,0.24199096495416772,0.8784968596407239
train,Categorical EM-MMIL,II_III,Undetermined,II_III,2,0.000740281963344,0.00093233961142584
train,Categorical EM-MMIL,II_III,Epithelial cells,IV,70,0.634384590614799,0.999999999998
train,Categorical EM-MMIL,II_III,NK cells,IV,46,0.4436794446928275,0.9986594160247226
train,Categorical EM-MMIL,II_III,Endothelial cells,IV,3,0.3977590514590526,0.8128708734019465
train,Categorical EM-MMIL,II_III,Myeloid cells,IV,122,0.3607213189503271,0.9999999999949404
